Year,Sub-Category,Profit,Rank
2015,Accessories,5905.65,4
2015,Appliances,935.78,12
2015,Art,1232.21,11
2015,Binders,1676.58,9
2015,Bookcases,1324.37,10
2015,Chairs,8103.91,3
2015,Copiers,19251.77,1
2015,Envelopes,857.4300000000001,13
2015,Fasteners,350.63,15
2015,Furnishings,3090.87,6
2015,Labels,641.74,14
2015,Machines,-7461.0199999999995,18
2015,Paper,2064.76,7
2015,Phones,9298.07,2
2015,Storage,3936.56,5
2015,Supplies,36.81,16
2015,Tables,-3768.8,17
2015,Wearables,1950.72,8
2016,Accessories,6262.9,4
2016,Appliances,1269.03,10
2016,Art,1256.74,11
2016,Binders,1952.5,8
2016,Bookcases,502.6700000000001,14
2016,Chairs,6838.74,3
2016,Copiers,25381.0,1
2016,Envelopes,1148.8,12
2016,Fasteners,438.47,15
2016,Furnishings,3682.08,6
2016,Labels,901.25,13
2016,Machines,-6070.36,18
2016,Paper,2111.83,7
2016,Phones,12257.44,2
2016,Storage,4709.49,5
2016,Supplies,58.49,16
2016,Tables,-4126.3,17
2016,Wearables,1610.96,9
2017,Accessories,6421.96,4
2017,Appliances,2024.33,11
2017,Art,1664.29,12
2017,Binders,2208.64,10
2017,Bookcases,4569.02,7
2017,Chairs,10745.44,2
2017,Copiers,32302.350000000002,1
2017,Envelopes,1596.55,13
2017,Fasteners,545.24,15
2017,Furnishings,4963.01,6
2017,Labels,1058.72,14
2017,Machines,-8649.67,18
2017,Paper,2870.84,8
2017,Phones,10380.08,3
2017,Storage,6137.76,5
2017,Supplies,26.380000000000006,16
2017,Tables,-5800.96,17
2017,Wearables,2250.3,9
2018,Accessories,8007.48,4
2018,Appliances,1079.21,13
2018,Art,1724.16,11
2018,Binders,2642.75,8
2018,Bookcases,2411.25,9
2018,Chairs,10179.53,3
2018,Copiers,31446.14,1
2018,Envelopes,1521.09,12
2018,Fasteners,627.78,15
2018,Furnishings,5442.81,6
2018,Labels,945.62,14
2018,Machines,-6040.33,18
2018,Paper,3011.73,7
2018,Phones,11785.94,2
2018,Storage,6654.95,5
2018,Supplies,174.91,16
2018,Tables,-5952.11,17
2018,Wearables,2042.54,10
